error,correct,chatgpt_response,error_type
"If I suffer from any problem , the first step I take is I try to go back to my lovely sister because , deep inside , I know she is the only family member that can assist me .","If I suffer from any problem , the first step I take is I try to go back to my lovely sister because , deep inside , I know she is the only family member that can help me .","{'explanation': ""the error in the original sentence is the use of 'assist me' which is not a common collocation. a more natural choice would be 'help me'."", 'example1_erroneous': 'the teacher assisted the students with their project.', 'example1_correct': 'the teacher helped the students with their project.', 'example2_erroneous': 'please assist me in finding my keys.', 'example2_correct': 'please help me in finding my keys.', 'example3_erroneous': 'the doctor assisted the patient during the surgery.', 'example3_correct': 'the doctor helped the patient during the surgery.'}",Collocation
"The way I see it , finding the origin of languages can be similar to know our own family tree .","The way I see it , finding the origin of languages can be similar to knowing our own family tree .","{'explanation': ""the error in the erroneous sentence is the use of 'know' instead of 'knowing.' in this context, 'knowing' should be used as a gerund (verbal noun) to show the action of understanding or being aware of the origin of languages."", 'example1_erroneous': 'i enjoy play basketball with my friends on weekends.', 'example1_correct': 'i enjoy playing basketball with my friends on weekends.', 'example2_erroneous': 'she likes read mystery novels in her free time.', 'example2_correct': 'she likes reading mystery novels in her free time.', 'example3_erroneous': 'they plan visit the museum this saturday.', 'example3_correct': 'they plan on visiting the museum this saturday.'}",Gerund
Governments should take some measures to deal with build more buildings . We will destroy the natural environment .,Governments should take some measures to deal with building more buildings . We will destroy the natural environment .,"{'explanation': ""the error in the erroneous sentence is the missing gerund form of the verb 'building' before 'more buildings'. the correction includes adding the gerund form 'building'."", 'example1_erroneous': 'she needs go to the store.', 'example1_correct': 'she needs to go to the store.', 'example2_erroneous': 'they enjoy play video games.', 'example2_correct': 'they enjoy playing video games.', 'example3_erroneous': 'he started learn spanish.', 'example3_correct': 'he started learning spanish.'}",Gerund
Television can be capable of both entertain and educating at the same time .,Television can be capable of both entertaining and educating at the same time .,"{'explanation': ""the error in the erroneous sentence is the incorrect use of 'entertain' and 'educating'. 'entertain' should be in the gerund form 'entertaining' to match with 'educating'."", 'example1_erroneous': 'she enjoy dance and sing in her free time.', 'example1_correct': 'she enjoys dancing and singing in her free time.', 'example2_erroneous': 'i like cook and bake on the weekends.', 'example2_correct': 'i like cooking and baking on the weekends.', 'example3_erroneous': 'reading can be both relaxing and improving for the mind.', 'example3_correct': 'reading can be both relaxing and improving for the mind.'}",Gerund
"Second , it is true that shop in a shopping center is fast and convenient , because one can buy all types of things together .","Second , it is true that shopping in a shopping center is fast and convenient , because one can buy all types of things together .","{'explanation': ""the error in the erroneous sentence is the incorrect use of 'shop' instead of 'shopping'. 'shop' is a verb, while 'shopping' is a gerund that acts as a noun in this context."", 'example1_erroneous': ""first, it's important that eat breakfast every morning to start the day right."", 'example1_correct': ""first, it's important to eat breakfast every morning to start the day right."", 'example2_erroneous': 'she enjoys go to the beach on weekends to relax and unwind.', 'example2_correct': 'she enjoys going to the beach on weekends to relax and unwind.', 'example3_erroneous': 'they decided that watch a movie at the cinema was the best way to spend the evening.', 'example3_correct': 'they decided that watching a movie at the cinema was the best way to spend the evening.'}",Gerund
"For the next season there 's going to be a new cycle about WWII and Tom Hanks and Matt Damon will visit the Film Club to speak about the film in which they appeared : "" Saving Private Ryan "" , and their process for get involved in their characters for realistic acting .","For the next season there 's going to be a new cycle about WWII and Tom Hanks and Matt Damon will visit the Film Club to speak about the film in which they appeared : "" Saving Private Ryan "" , and their process for getting involved in their characters for realistic acting .","{'explanation': ""the error is the use of 'get' instead of 'getting'. 'get' is the base form of the verb, while 'getting' is the correct present participle form needed in this context."", 'example1_erroneous': 'she needs to practice more to improve her skills for run faster.', 'example1_correct': 'she needs to practice more to improve her skills for running faster.', 'example2_erroneous': 'i enjoy to listen to music while i work.', 'example2_correct': 'i enjoy listening to music while i work.', 'example3_erroneous': 'they recommend to visit the museum before it get too crowded.', 'example3_correct': 'they recommend visiting the museum before it gets too crowded.'}",Gerund
"After ten minutes , I asked the teacher to called my parents so I could go home .","After ten minutes , I asked the teacher to call my parents so I could go home .","{'explanation': ""the error in the sentence is the incorrect use of 'called' after 'to'. the correct form should be 'to call'."", 'example1_erroneous': 'he decided to invited his friends to the party.', 'example1_correct': 'he decided to invite his friends to the party.', 'example2_erroneous': 'she needs to emailed her boss the report by friday.', 'example2_correct': 'she needs to email her boss the report by friday.', 'example3_erroneous': 'they are going to asked their neighbors for help with the project.', 'example3_correct': 'they are going to ask their neighbors for help with the project.'}",Infinitives
I want working in your cafe .,I want to work in your cafe .,"{'explanation': ""the error in the erroneous sentence is the missing preposition 'to' before the verb 'work.' the correct sentence uses the preposition 'to' to show the infinitive form of the verb."", 'example1_erroneous': 'she enjoys play basketball .', 'example1_correct': 'she enjoys playing basketball .', 'example2_erroneous': 'he needs finish his homework .', 'example2_correct': 'he needs to finish his homework .', 'example3_erroneous': 'they like eat sushi .', 'example3_correct': 'they like to eat sushi .'}",Infinitives
"However , both readers and writers do not only do it in an altruistic and philanthropic way , but to get fame and popularity at the same time . Blogs and websites could give them the chance to became famous if they really appeal to a large number of people and they will also be able to earn money thanks to advertising .","However , both readers and writers do not only do it in an altruistic and philanthropic way , but to get fame and popularity at the same time . Blogs and websites could give them the chance to become famous if they really appeal to a large number of people and they will also be able to earn money thanks to advertising .","{'explanation': ""the error is in the use of 'became' instead of 'become'. 'became' is the past tense of 'become', but in this context, the correct form is the base form 'become'."", 'example1_erroneous': 'she dreams of became a famous singer one day.', 'example1_correct': 'she dreams of becoming a famous singer one day.', 'example2_erroneous': 'the artist became very wealthy after their first album release.', 'example2_correct': 'the artist became very wealthy after their first album release.', 'example3_erroneous': 'he became the leader of the company after years of hard work.', 'example3_correct': 'he became the leader of the company after years of hard work.'}",Infinitives
"While William Shakespeare wrote his plays and made the thespian art to flourish in England , in Russia it was the very dark and sinister period of Ivan the Terrible 's reign .","While William Shakespeare wrote his plays and made the thespian art  flourish in England , in Russia it was the very dark and sinister period of Ivan the Terrible 's reign .","{'explanation': ""there is a repetition of the word 'the' before 'thespian art' in the erroneous sentence."", 'example1_erroneous': 'she went to the the store to buy groceries .', 'example1_correct': 'she went to the store to buy groceries .', 'example2_erroneous': 'they visited the the famous eiffel tower in paris .', 'example2_correct': 'they visited the famous eiffel tower in paris .', 'example3_erroneous': 'i like the the color blue.', 'example3_correct': 'i like the color blue.'}",Infinitives
"For example , I learned about organization , how  control big groups of children , and entertaining activities for children .","For example , I learned about organization , how to control big groups of children , and entertaining activities for children .","{'explanation': ""the error is the missing word 'to' before the verb 'control'. in english, the infinitive form of a verb is commonly used after certain words, such as 'learned about', 'decided to', 'forgot to', etc."", 'example1_erroneous': 'she needs learn how cook.', 'example1_correct': 'she needs to learn how to cook.', 'example2_erroneous': 'they want know how speak spanish.', 'example2_correct': 'they want to know how to speak spanish.', 'example3_erroneous': 'he forgot buy milk on the way home.', 'example3_correct': 'he forgot to buy milk on the way home.'}",Infinitives
They mostly depended on animals to pull cart to ride on them .,They mostly depended on animals to pull carts and to ride on them .,"{'explanation': ""the error in the erroneous sentence is the use of 'cart' instead of 'carts'. 'cart' should be plural to match the context of animals pulling multiple carts."", 'example1_erroneous': 'she used horse to pull cart to transport the goods.', 'example1_correct': 'she used horses to pull carts to transport the goods.', 'example2_erroneous': 'the farmer relied on ox to pull cart in the fields.', 'example2_correct': 'the farmer relied on oxen to pull carts in the fields.', 'example3_erroneous': 'the villagers hired donkey to pull cart to bring water from the well.', 'example3_correct': 'the villagers hired donkeys to pull carts to bring water from the well.'}",Number
"For example , lunchtime travelling is very dangerous for pregnant women due to emission of carbon mon oxide , which affects red blood cells and irritates the respiratory system . As a result , they prefer private transport systems to prevent such hazards .","For example , lunchtime travelling is very dangerous for pregnant women due to emissions of carbon mon oxide , which affects red blood cells and irritates the respiratory system . As a result , they prefer private transport systems to prevent such hazards .","{'explanation': ""the error in the erroneous sentence is the use of 'emission' instead of 'emissions', which is the correct plural form in this context."", 'example1_erroneous': 'during lunchtime, my coworker likes to play music out loud, which can cause distraction to others.', 'example1_correct': 'during lunchtime, my coworker likes to play music out loud, which can cause distractions to others.', 'example2_erroneous': 'watching tv late at night can cause strain on your eyes leading to poor eyesight.', 'example2_correct': 'watching tv late at night can cause strain on your eyes leading to poor eyesight.', 'example3_erroneous': 'excessive sugar consumption has been linked to various health issues such as obesity and diabetes.', 'example3_correct': 'excessive sugar consumption has been linked to various health issues such as obesity and diabetes.'}",Number
"Before addressing the question of what is better for young people , I would like to remind you that both activities spending time on a computer and watching television are harmful for children's / teen 's health .","Before addressing the question of what is better for young people , I would like to remind you that both activities spending time on a computer and watching television are harmful for children's / teens ' health .","{'explanation': ""the error in the original sentence is the incorrect use of the apostrophe in 'teen's'. 'teen's' is the possessive form of 'teen,' whereas 'teen' is already a plural noun. therefore, the correct form should be 'teens' to indicate multiple teenagers."", 'example1_erroneous': ""the jobs of nurse's and teacher's are both demanding but rewarding."", 'example1_correct': 'the jobs of nurses and teachers are both demanding but rewarding.', 'example2_erroneous': ""i enjoy listening to all types of music, especially rock's and pop's."", 'example2_correct': 'i enjoy listening to all types of music, especially rock and pop.', 'example3_erroneous': ""the soccer team's and basketball team's jerseys are blue and white."", 'example3_correct': ""the soccer team and basketball team's jerseys are blue and white.""}",Number
"Yesterday morning , a group of American tourist went for a bike ride through the center of Buenos Aires City .","Yesterday morning , a group of American tourists went for a bike ride through the center of Buenos Aires City .","{'explanation': ""the error in the erroneous sentence is the incorrect subject-verb agreement. 'tourist' should be pluralized to 'tourists' to match the plural subject 'group of american tourists'."", 'example1_erroneous': 'last week, a student forgot to bring his textbook to the class .', 'example1_correct': 'last week, a student forgot to bring his textbook to the class.', 'example2_erroneous': 'every morning, a police officer patrol the neighborhood to ensure safety .', 'example2_correct': 'every morning, a police officer patrols the neighborhood to ensure safety.', 'example3_erroneous': 'at the concert, a musician play the guitar beautifully .', 'example3_correct': 'at the concert, a musician plays the guitar beautifully.'}",Number
The cost of having a car is hence not as cheap as we think if we also take into account those unavoidable extra cost .,The cost of having a car is hence not as cheap as we think if we also take into account those unavoidable extra costs .,"{'explanation': ""the error in the original sentence is the incorrect pluralization of 'cost'. in the corrected sentence, 'costs' is used to match the plural noun 'extra costs.'"", 'example1_erroneous': 'she needs to consider all possible risk before making a decision.', 'example1_correct': 'she needs to consider all possible risks before making a decision.', 'example2_erroneous': 'he enjoys trying out different type of cuisine when he travels.', 'example2_correct': 'he enjoys trying out different types of cuisine when he travels.', 'example3_erroneous': 'i always make sure to confirm all hotel booking before traveling.', 'example3_correct': 'i always make sure to confirm all hotel bookings before traveling.'}",Number
"To begin with is design , we have to consider background colour , artwork , and security issues , and then we are supposed to prepare metal plates , such using skilled machinists .","To begin with is design , we have to consider background colour , artwork , and security issues , and then we are supposed to prepare metal plates ,  using skilled machinists .","{'explanation': ""the error in the erroneous sentence is the inclusion of 'such' before 'using skilled machinists', which makes the sentence grammatically incorrect. 'such' is unnecessary in this context and should be removed to make the sentence flow correctly."", 'example1_erroneous': 'she needs to buy such using skilled machinists for her project.', 'example1_correct': 'she needs to buy using skilled machinists for her project.', 'example2_erroneous': 'he wanted to visit such watching tv.', 'example2_correct': 'he wanted to visit watching tv.', 'example3_erroneous': 'they are going to hire such writing experts for their company.', 'example3_correct': 'they are going to hire writing experts for their company.'}",Others
"In my opinion , it is so really exciting , because you are constantly thinking about where the girls are or who could be the kidnaper .","In my opinion , it is  really exciting , because you are constantly thinking about where the girls are or who could be the kidnaper .","{'explanation': ""the error in the sentence is the use of both 'so' and 'really' together, which is redundant. 'so' and 'really' are both used as intensifiers, so using them together is unnecessary."", 'example1_erroneous': 'i am so really happy to see you today.', 'example1_correct': 'i am really happy to see you today.', 'example2_erroneous': 'she was so really tired after running the marathon.', 'example2_correct': 'she was really tired after running the marathon.', 'example3_erroneous': 'the movie was so really good, i want to watch it again.', 'example3_correct': 'the movie was really good, i want to watch it again.'}",Others
"I am not sure that mine is the best family in the world , but I am pretty sure that I have the best parents I could never wished for .","I am not sure that mine is the best family in the world , but I am pretty sure that I have the best parents I could ever have wished for .","{'explanation': ""the error lies in the phrase 'could never wished for'. the correct form should be 'could ever have wished for' to convey the intended meaning."", 'example1_erroneous': 'she never thought she could never achieve her goals in life.', 'example1_correct': 'she never thought she could ever achieve her goals in life.', 'example2_erroneous': 'i could never imagined a better vacation than the one we just had.', 'example2_correct': 'i could ever have imagined a better vacation than the one we just had.', 'example3_erroneous': 'they could never dream of a more loving pet than their old dog.', 'example3_correct': 'they could ever have dreamed of a more loving pet than their old dog.'}",Others
I am have 24 years old and I live in Rena .,I am  24 years old and I live in Rena .,"{'explanation': ""the error in the erroneous sentence is the use of 'am have' instead of 'am'. the correct sentence should be 'i am 24 years old and i live in rena.'"", 'example1_erroneous': 'she is goes to school by bus.', 'example1_correct': 'she goes to school by bus.', 'example2_erroneous': 'they are not like to watch horror movies.', 'example2_correct': 'they do not like to watch horror movies.', 'example3_erroneous': 'he is have a pet dog named max.', 'example3_correct': 'he has a pet dog named max.'}",Others
I will help you as much  I can .,I will help you as much as I can .,"{'explanation': ""the word 'as' is necessary after 'much' to complete the comparison."", 'example1_erroneous': ""she studied hard for the test, but she still didn't do well  she hoped ."", 'example1_correct': ""she studied hard for the test, but she still didn't do as well as she hoped ."", 'example2_erroneous': 'he ran as fast  he could to catch the bus.', 'example2_correct': 'he ran as fast as he could to catch the bus.', 'example3_erroneous': 'i need to finish this project as soon  possible.', 'example3_correct': 'i need to finish this project as soon as possible.'}",Others
"First of all , it is absolutely minimum . You just need boots for running !","First of all , it is absolutely minimal . You just need boots for running !","{'explanation': ""the error in the erroneous sentence is the incorrect use of 'minimum' instead of 'minimal'. 'minimum' is a noun or an adjective that refers to the lowest or smallest amount, while 'minimal' is an adjective that means very small or minimal."", 'example1_erroneous': 'she packed the minimum amount of clothes for the trip.', 'example1_correct': 'she packed the minimal amount of clothes for the trip.', 'example2_erroneous': 'the project requires a minimum amount of funding.', 'example2_correct': 'the project requires a minimal amount of funding.', 'example3_erroneous': 'i have the minimum qualifications for the job.', 'example3_correct': 'i have the minimal qualifications for the job.'}",POS Confusion
It is more fun when we travelling by car .,It is more fun when we travel by car .,"{'explanation': ""the error in the erroneous sentence is the incorrect verb form 'travelling' in place of 'travel'. the correction replaces 'travelling' with 'travel' to use the correct verb form."", 'example1_erroneous': 'she enjoy reading books in her free time.', 'example1_correct': 'she enjoys reading books in her free time.', 'example2_erroneous': 'they prefers to eat dinner early.', 'example2_correct': 'they prefer to eat dinner early.', 'example3_erroneous': 'he not wants to go to the party.', 'example3_correct': 'he does not want to go to the party.'}",POS Confusion
"I like to drive my moped , because I love speed , and its fun to go out and drive with your friends to a beach or maybe a BBQ party .","I like to drive my moped , because I love speed , and it 's fun to go out and drive with your friends to a beach or maybe a BBQ party .","{'explanation': ""the error is in the contraction of 'it is' which should be written as 'it's' instead of 'its'."", 'example1_erroneous': 'she enjoys reading in the park because its peaceful and relaxing.', 'example1_correct': ""she enjoys reading in the park because it's peaceful and relaxing."", 'example2_erroneous': 'i believe its important to always be honest with yourself.', 'example2_correct': ""i believe it's important to always be honest with yourself."", 'example3_erroneous': 'the dog wagged its tail happily when it saw its owner.', 'example3_correct': ""the dog wagged its tail happily when it saw it's owner.""}",POS Confusion
"Since then , everything had gone so perfect between the two of them .","Since then , everything had gone so perfectly between the two of them .","{'explanation': ""the error is in the incorrect use of the adverb 'perfect' when it should be the adverb 'perfectly' to modify the verb 'had gone.'"", 'example1_erroneous': 'i played the piano so perfect at the recital.', 'example1_correct': 'i played the piano so perfectly at the recital.', 'example2_erroneous': 'she painted the picture so perfect that it sold for a high price.', 'example2_correct': 'she painted the picture so perfectly that it sold for a high price.', 'example3_erroneous': 'the chef cooked the steak so perfect that everyone praised his skills.', 'example3_correct': 'the chef cooked the steak so perfectly that everyone praised his skills.'}",POS Confusion
so the government must take action to make it easy .,so the government must take action to make it easier .,"{'explanation': ""the word 'easy' needs to be in comparative form ('easier') to correctly modify the verb 'make'."", 'example1_erroneous': 'i need to find a way to make it simple.', 'example1_correct': 'i need to find a way to make it simpler.', 'example2_erroneous': 'she wanted to make it quick.', 'example2_correct': 'she wanted to make it quicker.', 'example3_erroneous': 'we are trying to make it efficient.', 'example3_correct': 'we are trying to make it more efficient.'}",POS Confusion
"And when the sheets of bank notes are being printed , colour on both sides , special ink and slightly raise images should be on the bank notes .","And when the sheets of bank notes are being printed , colour on both sides , special ink and slightly raised images should be on the bank notes .","{'explanation': ""the error in the sentence is the incorrect verb form 'raise' should be 'raised' to match the plural subject 'images'."", 'example1_erroneous': 'she always wear a blue dress on fridays.', 'example1_correct': 'she always wears a blue dress on fridays.', 'example2_erroneous': 'he like to play basketball after school.', 'example2_correct': 'he likes to play basketball after school.', 'example3_erroneous': 'the children ride their bike to school every day.', 'example3_correct': 'the children ride their bikes to school every day.'}",Participle
"The other chart is about employer support . Under 26 years old is the highest because it is almost 70% , the second highest is age 26 - 29 years old ; it has 50% ; the lowerst is 35% and the age of the group is 30 - 39 years old .","The other chart is about employer support . Under 26 years old is the highest because it is almost 70% , the second highest is aged 26 - 29 years old ; it has 50% ; the lowerst is 35% and the age of the group is 30 - 39 years old .","{'explanation': ""the error in the erroneous sentence is the incorrect usage of 'age' as a verb instead of an adjective. the correction replaces 'age' with 'aged' to correctly modify the age range."", 'example1_erroneous': 'she is five year old.', 'example1_correct': 'she is five years old.', 'example2_erroneous': 'the puppy is four month old.', 'example2_correct': 'the puppy is four months old.', 'example3_erroneous': 'he is twenty years old and she is twenty-five year old.', 'example3_correct': 'he is twenty years old and she is twenty-five years old.'}",Participle
"After that , western clothes became popular in Japan and the recycling system was forgot for a long time .","After that , western clothes became popular in Japan and the recycling system was forgotten for a long time .","{'explanation': ""the error is in the use of 'forgot' where it should be 'forgotten' to maintain proper verb tense."", 'example1_erroneous': 'she had sing a beautiful song last night.', 'example1_correct': 'she had sung a beautiful song last night.', 'example2_erroneous': 'the dog was bite by the cat.', 'example2_correct': 'the dog was bitten by the cat.', 'example3_erroneous': 'he have went to the store earlier.', 'example3_correct': 'he have gone to the store earlier.'}",Participle
